slc,50000,864,703
slc,50000,4322,707
slc,50000,8644,712
slc,50000,17288,712
slc,100000,864,546
slc,100000,4322,477
slc,100000,8644,475
slc,100000,17288,479
slc,200000,864,388
slc,200000,4322,375
slc,200000,8644,375
slc,200000,17288,373
slc,500000,864,325
slc,500000,4322,331
slc,500000,8644,320
slc,500000,17288,327
slc,860000,864,324
slc,860000,4322,316
slc,860000,8644,296
slc,860000,17288,312
bos,50000,864,712
bos,50000,4322,712
bos,50000,8644,709
bos,50000,17288,699
bos,100000,864,480
bos,100000,4322,472
bos,100000,8644,477
bos,100000,17288,473
bos,200000,864,384
bos,200000,4322,374
bos,200000,8644,394
bos,200000,17288,376
bos,500000,864,325
bos,500000,4322,312
bos,500000,8644,316
bos,500000,17288,323
bos,860000,864,330
bos,860000,4322,290
bos,860000,8644,331
bos,860000,17288,311
str,50000,864,674
str,50000,4322,672
str,50000,8644,685
str,50000,17288,674
str,100000,864,455
str,100000,4322,457
str,100000,8644,450
str,100000,17288,484
str,200000,864,339
str,200000,4322,342
str,200000,8644,340
str,200000,17288,345
str,500000,864,279
str,500000,4322,276
str,500000,8644,267
str,500000,17288,300
str,860000,864,258
str,860000,4322,251
str,860000,8644,413
str,860000,17288,259
slc,500000,43220,306
slc,500000,86441,321
slc,500000,172882,307
slc,860000,43220,296
slc,860000,86441,299
slc,860000,172882,295
bos,500000,43220,306
bos,500000,86441,323
bos,500000,172882,324
bos,860000,43220,300
bos,860000,86441,319
bos,860000,172882,287
str,500000,43220,274
str,500000,86441,281
str,500000,172882,292
str,860000,43220,278
str,860000,86441,257
str,860000,172882,259
