slc,50000,864,1380
slc,50000,4322,1371
slc,50000,8644,1347
slc,50000,17288,1344
slc,100000,864,889
slc,100000,4322,882
slc,100000,8644,868
slc,100000,17288,885
slc,200000,864,671
slc,200000,4322,703
slc,200000,8644,657
slc,200000,17288,671
slc,500000,864,542
slc,500000,4322,554
slc,500000,8644,541
slc,500000,17288,748
slc,860000,864,536
slc,860000,4322,549
slc,860000,8644,527
slc,860000,17288,552
bos,50000,864,1324
bos,50000,4322,1344
bos,50000,8644,1353
bos,50000,17288,1342
bos,100000,864,904
bos,100000,4322,898
bos,100000,8644,930
bos,100000,17288,921
bos,200000,864,669
bos,200000,4322,666
bos,200000,8644,681
bos,200000,17288,663
bos,500000,864,549
bos,500000,4322,549
bos,500000,8644,539
bos,500000,17288,540
bos,860000,864,559
bos,860000,4322,528
bos,860000,8644,538
bos,860000,17288,535
str,50000,864,1275
str,50000,4322,1284
str,50000,8644,1281
str,50000,17288,1288
str,100000,864,835
str,100000,4322,829
str,200000,8644,595
str,500000,8644,459
str,860000,8644,439
